hand_raise,resource_visits,announcement_views,discussion_posts,free_time,study_time,absences,final_grade,learning_style,total_actions,video_actions,audio_actions,text_actions,platform,typing_speed_wpm,keystroke_delay,error_rate,page_transitions,backtrack_count,scroll_depth,avg_sentence_length,response_time_sec,vocab_richness,video_watch_ratio,audio_play_ratio,image_click_ratio
55.0,13.0,35.0,90.0,3.0,2.0,4.0,10.0,Visual,,,,,,43,0.37,0.07,1,3,0.93,20,49,0.33,0.18,0.92,0.07
69.0,15.0,36.0,96.0,5.0,1.0,16.0,5.0,Visual,,,,,,22,0.41,0.05,19,1,0.29,10,45,0.88,0.33,0.31,0.42
70.0,50.0,40.0,99.0,1.0,1.0,4.0,10.0,Visual,,,,,,41,0.28,0.08,16,6,0.39,22,44,0.6,0.26,0.53,0.66
60.0,60.0,33.0,90.0,4.0,2.0,0.0,15.0,Visual,,,,,,72,0.35,0.06,12,4,0.39,20,68,0.58,0.08,0.47,0.0
10.0,12.0,4.0,80.0,4.0,1.0,0.0,15.0,Visual,,,,,,21,0.2,0.08,10,2,1.0,23,125,0.87,0.5,0.58,0.49
15.0,21.0,2.0,90.0,5.0,2.0,2.0,16.0,Visual,,,,,,43,0.38,0.02,2,8,0.2,20,40,0.6,0.45,0.88,0.81
2.0,0.0,2.0,50.0,4.0,2.0,0.0,12.0,Auditory,,,,,,63,0.27,0.15,18,8,0.71,9,58,0.61,0.71,0.87,0.05
0.0,2.0,3.0,70.0,3.0,3.0,2.0,8.0,Auditory,,,,,,49,0.28,0.06,13,9,0.9,16,143,0.89,0.62,0.98,0.34
8.0,7.0,30.0,40.0,2.0,1.0,14.0,8.0,Visual,,,,,,57,0.36,0.05,24,7,0.74,10,115,0.37,0.34,0.53,0.4
19.0,19.0,25.0,40.0,2.0,1.0,2.0,11.0,Visual,,,,,,21,0.47,0.11,6,0,0.49,6,28,0.89,0.5,0.92,0.72
25.0,15.0,12.0,33.0,2.0,1.0,4.0,15.0,Visual,,,,,,79,0.13,0.05,12,2,0.97,20,105,0.4,0.54,0.48,0.3
75.0,85.0,52.0,43.0,3.0,2.0,4.0,11.0,Visual,,,,,,40,0.43,0.12,22,1,0.91,15,179,0.58,0.92,0.04,0.25
30.0,90.0,33.0,35.0,4.0,2.0,16.0,11.0,Visual,,,,,,52,0.22,0.07,4,3,0.55,16,39,0.5,0.98,0.15,0.12
35.0,80.0,50.0,70.0,4.0,2.0,0.0,12.0,Visual,,,,,,31,0.28,0.11,1,1,0.66,15,35,0.87,0.82,0.33,1.0
4.0,5.0,40.0,16.0,3.0,2.0,0.0,17.0,Visual,,,,,,77,0.11,0.02,11,7,0.97,24,140,0.59,0.56,0.73,0.47
2.0,19.0,10.0,50.0,5.0,2.0,0.0,16.0,Visual,,,,,,41,0.22,0.13,23,0,0.99,23,170,0.31,0.93,0.08,0.05
8.0,22.0,9.0,40.0,3.0,2.0,0.0,12.0,Visual,,,,,,63,0.3,0.11,8,3,0.56,12,59,0.43,0.18,0.36,0.08
12.0,11.0,8.0,40.0,4.0,1.0,0.0,15.0,Visual,,,,,,44,0.12,0.03,2,4,0.88,22,168,0.56,0.7,0.98,0.13
10.0,12.0,17.0,30.0,5.0,1.0,0.0,6.0,Visual,,,,,,68,0.3,0.02,2,9,0.44,9,120,0.71,0.46,0.79,0.21
8.0,6.0,4.0,22.0,4.0,3.0,2.0,18.0,Visual,,,,,,46,0.47,0.05,16,3,0.5,16,105,0.64,0.14,0.57,0.74
45.0,54.0,26.0,90.0,4.0,3.0,7.0,15.0,Visual,,,,,,78,0.14,0.15,1,7,0.33,14,91,0.81,0.08,0.06,0.56
0.0,0.0,0.0,4.0,3.0,3.0,2.0,11.0,Auditory,,,,,,61,0.41,0.04,4,1,0.37,19,147,0.8,0.48,0.01,0.78
50.0,90.0,37.0,70.0,3.0,1.0,8.0,13.0,Visual,,,,,,47,0.26,0.07,6,8,0.73,9,31,0.65,0.24,0.11,0.02
14.0,13.0,3.0,70.0,3.0,2.0,25.0,11.0,Visual,,,,,,79,0.36,0.0,21,1,0.61,21,63,0.64,0.25,0.33,0.27
19.0,20.0,16.0,50.0,4.0,1.0,8.0,12.0,Visual,,,,,,35,0.2,0.06,20,1,0.38,8,90,0.47,0.32,0.61,0.41
10.0,12.0,7.0,33.0,3.0,2.0,2.0,18.0,Visual,,,,,,34,0.16,0.09,14,1,0.52,16,141,0.87,0.72,0.2,0.43
30.0,35.0,28.0,90.0,4.0,1.0,0.0,11.0,Visual,,,,,,66,0.16,0.14,20,9,0.5,22,46,0.35,0.16,0.05,0.05
33.0,33.0,30.0,90.0,3.0,2.0,14.0,9.0,Visual,,,,,,70,0.13,0.08,15,7,0.99,12,72,0.54,0.72,0.09,0.51
20.0,12.0,15.0,70.0,2.0,2.0,8.0,6.0,Visual,,,,,,63,0.17,0.12,7,2,0.88,24,60,0.7,0.78,0.43,0.29
7.0,10.0,1.0,30.0,3.0,2.0,12.0,11.0,Visual,,,,,,74,0.37,0.08,7,9,0.51,21,145,0.87,0.59,0.77,0.19
70.0,4.0,39.0,90.0,2.0,4.0,4.0,20.0,Auditory,,,,,,71,0.45,0.01,18,9,0.93,12,10,0.6,0.25,0.82,0.67
13.0,80.0,40.0,88.0,3.0,2.0,2.0,14.0,Visual,,,,,,76,0.43,0.05,23,7,0.47,17,17,0.84,0.05,0.29,0.08
29.0,39.0,50.0,77.0,4.0,2.0,2.0,7.0,Visual,,,,,,22,0.37,0.09,2,6,0.73,7,90,0.36,0.41,0.66,0.87
20.0,14.0,12.0,70.0,3.0,2.0,2.0,13.0,Visual,,,,,,56,0.14,0.14,20,9,0.97,7,114,0.62,0.85,0.39,0.9
39.0,15.0,16.0,50.0,3.0,2.0,2.0,13.0,Visual,,,,,,70,0.22,0.13,15,3,0.51,11,121,0.49,0.1,0.97,0.33
55.0,90.0,16.0,40.0,5.0,1.0,6.0,10.0,Visual,,,,,,26,0.22,0.03,1,6,0.74,22,146,0.78,0.74,0.4,0.99
49.0,70.0,19.0,75.0,3.0,1.0,0.0,11.0,Visual,,,,,,40,0.2,0.03,21,7,0.44,11,153,0.57,0.47,0.4,0.4
12.0,50.0,8.0,30.0,3.0,1.0,6.0,13.0,Visual,,,,,,28,0.31,0.03,17,5,0.41,6,68,0.59,0.9,0.5,0.96
16.0,14.0,6.0,20.0,3.0,2.0,8.0,10.0,Visual,,,,,,58,0.31,0.14,20,5,0.66,11,54,0.34,0.36,0.03,0.99
19.0,5.0,4.0,1.0,3.0,2.0,0.0,15.0,Visual,,,,,,37,0.24,0.13,13,2,0.98,6,174,0.56,0.7,0.42,0.83
5.0,2.0,6.0,5.0,2.0,2.0,4.0,15.0,Textual,,,,,,23,0.24,0.12,12,4,0.56,11,100,0.35,0.74,0.83,0.12
28.0,60.0,19.0,50.0,3.0,2.0,2.0,9.0,Visual,,,,,,44,0.43,0.06,24,9,0.95,18,75,0.48,0.2,0.61,0.58
27.0,22.0,22.0,40.0,2.0,2.0,2.0,16.0,Visual,,,,,,79,0.42,0.08,22,1,0.93,19,45,0.38,0.16,0.97,0.73
21.0,10.0,28.0,20.0,4.0,2.0,6.0,11.0,Visual,,,,,,33,0.22,0.07,15,4,0.4,20,85,0.5,0.09,0.33,0.08
50.0,70.0,32.0,40.0,5.0,1.0,6.0,11.0,Visual,,,,,,69,0.47,0.04,24,4,0.52,12,59,0.44,0.7,0.16,0.89
80.0,90.0,70.0,80.0,4.0,2.0,4.0,9.0,Visual,,,,,,77,0.48,0.08,5,6,0.71,20,108,0.47,0.55,0.75,0.85
17.0,13.0,16.0,12.0,4.0,3.0,2.0,9.0,Visual,,,,,,28,0.23,0.0,7,3,0.61,11,104,0.39,0.09,0.04,0.93
0.0,5.0,7.0,2.0,4.0,2.0,0.0,10.0,Visual,,,,,,45,0.24,0.02,8,5,0.28,15,156,0.56,0.31,0.16,0.51
13.0,5.0,18.0,19.0,4.0,2.0,2.0,15.0,Visual,,,,,,72,0.3,0.13,23,8,0.99,8,163,0.6,0.14,0.51,0.32
25.0,10.0,19.0,30.0,3.0,4.0,4.0,12.0,Visual,,,,,,21,0.48,0.11,14,3,0.8,22,127,0.8,0.09,0.75,0.51
65.0,75.0,23.0,80.0,3.0,4.0,4.0,6.0,Visual,,,,,,39,0.45,0.06,4,5,0.55,17,109,0.62,0.3,0.6,0.73
70.0,69.0,35.0,30.0,1.0,2.0,2.0,8.0,Visual,,,,,,47,0.14,0.08,21,8,0.69,21,77,0.44,0.1,0.99,0.42
39.0,40.0,11.0,33.0,4.0,4.0,12.0,16.0,Visual,,,,,,66,0.26,0.06,14,9,0.27,16,121,0.74,0.26,0.65,0.35
22.0,30.0,10.0,12.0,3.0,4.0,0.0,15.0,Visual,,,,,,79,0.32,0.11,10,0,0.6,22,136,0.48,0.55,0.72,0.08
29.0,22.0,9.0,20.0,3.0,4.0,0.0,10.0,Visual,,,,,,26,0.3,0.12,22,7,0.94,14,104,0.75,0.56,0.99,0.45
11.0,2.0,2.0,8.0,3.0,2.0,2.0,5.0,Textual,,,,,,63,0.18,0.11,16,0,0.92,11,131,0.53,0.17,0.59,0.39
19.0,30.0,26.0,19.0,3.0,1.0,2.0,14.0,Visual,,,,,,27,0.44,0.11,11,3,0.47,16,136,0.61,0.19,0.71,0.66
12.0,0.0,6.0,13.0,3.0,2.0,54.0,11.0,Auditory,,,,,,66,0.37,0.03,22,2,0.63,16,112,0.6,0.85,0.3,0.44
50.0,90.0,29.0,60.0,3.0,2.0,6.0,10.0,Visual,,,,,,54,0.44,0.05,14,3,0.76,17,68,0.87,0.17,0.54,0.0
15.0,70.0,37.0,44.0,4.0,4.0,8.0,10.0,Visual,,,,,,33,0.44,0.07,14,6,0.47,5,55,0.39,0.05,0.91,0.48
20.0,80.0,33.0,33.0,2.0,4.0,0.0,11.0,Visual,,,,,,36,0.4,0.05,2,8,0.25,11,49,0.86,0.24,0.85,0.77
13.0,3.0,11.0,9.0,5.0,1.0,2.0,10.0,Visual,,,,,,55,0.28,0.11,22,8,0.6,20,150,0.64,0.58,0.31,0.95
80.0,90.0,49.0,55.0,4.0,2.0,12.0,5.0,Visual,,,,,,69,0.34,0.05,13,9,0.68,20,130,0.9,0.01,0.36,0.19
8.0,15.0,10.0,40.0,2.0,1.0,2.0,12.0,Visual,,,,,,59,0.16,0.02,3,0,0.2,20,114,0.64,0.98,0.85,0.42
8.0,25.0,1.0,70.0,3.0,3.0,4.0,11.0,Visual,,,,,,23,0.37,0.06,18,9,0.28,20,18,0.69,0.23,0.28,0.85
7.0,5.0,2.0,80.0,4.0,2.0,10.0,6.0,Visual,,,,,,21,0.17,0.15,22,0,0.37,18,75,0.75,0.24,0.89,0.04
7.0,4.0,10.0,50.0,3.0,2.0,4.0,15.0,Visual,,,,,,25,0.38,0.03,4,8,0.48,15,62,0.79,0.74,0.77,0.35
50.0,70.0,50.0,10.0,3.0,2.0,2.0,10.0,Visual,,,,,,73,0.19,0.09,21,3,0.63,23,90,0.59,0.25,0.15,0.59
1.0,0.0,1.0,12.0,4.0,2.0,6.0,8.0,Auditory,,,,,,61,0.15,0.06,21,2,0.44,15,13,0.71,0.4,0.72,0.34
70.0,12.0,40.0,50.0,3.0,2.0,4.0,6.0,Visual,,,,,,23,0.17,0.01,19,8,0.42,6,135,0.67,0.54,0.83,0.49
19.0,70.0,3.0,50.0,3.0,3.0,4.0,14.0,Visual,,,,,,73,0.1,0.07,16,4,0.9,11,151,0.54,0.02,0.14,0.94
3.0,12.0,4.0,33.0,4.0,2.0,12.0,10.0,Visual,,,,,,48,0.39,0.11,4,5,0.32,13,114,0.79,0.84,0.46,0.02
5.0,20.0,1.0,50.0,1.0,2.0,18.0,7.0,Visual,,,,,,37,0.39,0.08,19,0,0.6,13,145,0.42,0.51,0.86,0.08
4.0,8.0,10.0,60.0,3.0,3.0,0.0,8.0,Visual,,,,,,45,0.31,0.13,23,0,0.96,18,106,0.4,0.31,0.2,0.2
80.0,90.0,55.0,19.0,5.0,1.0,4.0,18.0,Visual,,,,,,63,0.16,0.04,15,6,0.7,14,101,0.74,0.4,0.45,0.38
50.0,70.0,19.0,15.0,3.0,2.0,4.0,6.0,Visual,,,,,,53,0.13,0.01,1,9,0.77,20,87,0.68,0.06,0.61,0.47
55.0,89.0,40.0,40.0,3.0,2.0,0.0,10.0,Visual,,,,,,29,0.11,0.14,16,7,0.54,22,92,0.49,0.72,0.1,0.04
80.0,44.0,35.0,10.0,3.0,4.0,6.0,14.0,Visual,,,,,,55,0.17,0.06,15,7,0.22,5,79,0.68,0.54,0.21,0.88
100.0,80.0,2.0,70.0,1.0,4.0,2.0,10.0,Visual,,,,,,33,0.46,0.09,16,6,0.72,6,45,0.76,0.91,0.47,0.76
14.0,60.0,11.0,75.0,3.0,1.0,2.0,15.0,Visual,,,,,,50,0.2,0.12,22,8,0.71,24,93,0.43,0.46,0.37,0.27
6.0,2.0,38.0,12.0,3.0,2.0,2.0,10.0,Auditory,,,,,,67,0.24,0.05,20,0,0.29,8,138,0.65,0.83,0.32,0.26
10.0,3.0,0.0,30.0,3.0,1.0,6.0,14.0,Visual,,,,,,34,0.14,0.11,1,1,0.57,6,150,0.79,0.19,0.03,0.03
50.0,7.0,9.0,50.0,3.0,3.0,0.0,8.0,Visual,,,,,,27,0.19,0.02,17,2,0.93,8,149,0.55,0.06,0.93,0.4
50.0,90.0,40.0,90.0,5.0,1.0,14.0,5.0,Visual,,,,,,33,0.31,0.04,5,4,0.36,10,84,0.64,0.95,0.87,0.25
70.0,92.0,50.0,7.0,4.0,3.0,0.0,17.0,Visual,,,,,,42,0.34,0.02,5,3,0.57,8,109,0.35,0.26,0.39,0.62
2.0,6.0,2.0,8.0,3.0,1.0,4.0,14.0,Visual,,,,,,79,0.2,0.12,7,3,0.57,22,154,0.8,0.83,0.18,0.55
1.0,7.0,6.0,10.0,3.0,2.0,26.0,6.0,Visual,,,,,,76,0.12,0.03,13,7,0.85,9,62,0.78,0.26,0.07,0.96
0.0,12.0,3.0,3.0,4.0,2.0,0.0,18.0,Visual,,,,,,59,0.26,0.11,12,7,0.86,15,76,0.57,0.16,0.12,0.8
0.0,0.0,5.0,80.0,3.0,4.0,10.0,11.0,Auditory,,,,,,40,0.19,0.14,4,6,0.81,17,19,0.37,0.73,0.6,0.08
12.0,26.0,7.0,40.0,1.0,4.0,8.0,8.0,Visual,,,,,,35,0.19,0.08,4,0,0.49,7,55,0.7,0.78,0.73,0.7
70.0,90.0,41.0,33.0,3.0,3.0,2.0,18.0,Visual,,,,,,64,0.48,0.08,23,9,0.26,23,92,0.64,0.84,0.16,0.11
7.0,12.0,5.0,3.0,3.0,4.0,6.0,13.0,Visual,,,,,,37,0.35,0.07,21,3,0.48,24,126,0.85,0.86,0.11,0.32
90.0,70.0,30.0,14.0,4.0,3.0,4.0,16.0,Visual,,,,,,66,0.32,0.05,21,0,0.74,15,13,0.47,0.48,0.69,0.56
70.0,88.0,55.0,40.0,5.0,1.0,6.0,19.0,Visual,,,,,,72,0.27,0.07,6,4,0.76,15,66,0.32,0.4,0.52,0.5
77.0,80.0,51.0,80.0,1.0,3.0,0.0,10.0,Visual,,,,,,43,0.27,0.09,24,2,0.97,6,47,0.45,0.75,0.37,0.69
2.0,5.0,3.0,50.0,1.0,2.0,6.0,13.0,Visual,,,,,,45,0.32,0.15,15,2,0.56,19,149,0.56,0.57,0.72,0.81
25.0,27.0,0.0,69.0,5.0,1.0,10.0,19.0,Visual,,,,,,44,0.38,0.14,21,3,0.71,12,40,0.39,0.97,0.46,0.83
11.0,2.0,0.0,50.0,4.0,2.0,8.0,9.0,Auditory,,,,,,79,0.38,0.13,19,1,0.63,6,139,0.89,0.38,0.47,0.06
0.0,8.0,11.0,70.0,4.0,2.0,2.0,16.0,Visual,,,,,,79,0.17,0.13,6,6,0.32,12,138,0.43,0.04,0.02,0.64
77.0,80.0,12.0,19.0,4.0,2.0,2.0,14.0,Visual,,,,,,79,0.3,0.07,12,3,0.57,24,90,0.71,0.59,0.32,0.96
25.0,29.0,40.0,17.0,4.0,1.0,0.0,13.0,Visual,,,,,,64,0.26,0.1,14,4,0.64,19,34,0.57,0.35,0.01,0.76
24.0,35.0,23.0,22.0,2.0,2.0,20.0,8.0,Visual,,,,,,60,0.45,0.13,18,1,0.96,20,14,0.63,0.34,0.92,0.52
60.0,60.0,3.0,60.0,4.0,1.0,6.0,13.0,Visual,,,,,,48,0.35,0.06,12,5,0.49,17,57,0.86,0.56,0.29,1.0
21.0,12.0,0.0,50.0,2.0,2.0,2.0,15.0,Visual,,,,,,34,0.31,0.14,24,8,0.98,21,151,0.62,0.92,0.18,0.04
0.0,4.0,8.0,30.0,5.0,4.0,6.0,15.0,Auditory,,,,,,64,0.15,0.06,24,7,0.63,18,61,0.48,0.27,0.09,0.09
66.0,90.0,55.0,12.0,2.0,2.0,2.0,13.0,Visual,,,,,,20,0.34,0.09,15,7,0.39,18,83,0.43,0.38,0.05,0.77
70.0,98.0,7.0,5.0,4.0,1.0,18.0,13.0,Visual,,,,,,44,0.15,0.11,19,1,0.35,5,158,0.84,0.89,0.89,0.55
0.0,6.0,4.0,15.0,4.0,2.0,0.0,8.0,Visual,,,,,,26,0.23,0.14,8,3,0.31,5,162,0.89,0.9,0.17,0.12
12.0,30.0,0.0,17.0,5.0,1.0,0.0,12.0,Visual,,,,,,28,0.16,0.04,9,7,0.56,7,108,0.45,0.23,0.62,0.38
2.0,9.0,7.0,55.0,3.0,2.0,0.0,11.0,Visual,,,,,,43,0.38,0.11,5,0,0.22,19,76,0.73,0.71,0.65,0.06
55.0,33.0,6.0,9.0,4.0,2.0,2.0,9.0,Visual,,,,,,20,0.18,0.08,5,7,0.56,9,128,0.6,0.42,0.32,0.53
12.0,10.0,20.0,16.0,3.0,1.0,0.0,0.0,Visual,,,,,,63,0.26,0.04,6,2,0.99,9,112,0.72,0.94,0.83,0.1
70.0,90.0,2.0,2.0,5.0,1.0,8.0,18.0,Visual,,,,,,27,0.46,0.12,23,7,0.74,8,42,0.88,0.73,0.21,0.01
7.0,9.0,5.0,30.0,2.0,3.0,0.0,0.0,Visual,,,,,,43,0.18,0.08,3,5,0.81,18,154,0.47,0.49,0.07,0.32
80.0,42.0,20.0,50.0,3.0,1.0,0.0,0.0,Visual,,,,,,30,0.3,0.1,5,6,0.3,24,43,0.74,0.82,0.07,0.23
0.0,3.0,10.0,3.0,4.0,1.0,12.0,12.0,Visual,,,,,,70,0.27,0.05,1,1,0.58,11,163,0.56,1.0,0.3,0.36
12.0,60.0,0.0,70.0,2.0,1.0,16.0,11.0,Visual,,,,,,36,0.11,0.07,11,0,0.43,19,179,0.69,0.45,0.46,0.35
80.0,80.0,15.0,70.0,3.0,2.0,0.0,0.0,Visual,,,,,,27,0.42,0.09,21,5,0.92,15,168,0.54,0.37,0.63,0.63
70.0,80.0,95.0,70.0,3.0,3.0,0.0,0.0,Visual,,,,,,54,0.13,0.06,20,2,0.35,18,122,0.73,0.61,0.73,0.68
70.0,80.0,95.0,70.0,4.0,2.0,0.0,0.0,Visual,,,,,,54,0.29,0.03,1,3,0.57,10,60,0.5,0.68,0.18,0.13
60.0,80.0,50.0,40.0,3.0,1.0,0.0,0.0,Visual,,,,,,52,0.32,0.14,7,8,0.67,14,45,0.59,0.7,0.68,0.49
100.0,80.0,95.0,90.0,4.0,2.0,0.0,12.0,Visual,,,,,,78,0.35,0.08,15,2,0.61,11,22,0.73,0.47,0.18,0.89
100.0,85.0,85.0,70.0,3.0,1.0,0.0,15.0,Visual,,,,,,24,0.38,0.11,17,1,0.86,14,94,0.33,0.33,1.0,0.15
10.0,60.0,5.0,20.0,2.0,4.0,0.0,0.0,Visual,,,,,,61,0.2,0.06,8,1,0.39,18,22,0.5,0.82,0.96,0.97
19.0,65.0,50.0,10.0,3.0,1.0,8.0,9.0,Visual,,,,,,58,0.1,0.05,2,1,0.5,9,41,0.63,0.96,0.1,0.02
10.0,75.0,55.0,11.0,2.0,3.0,2.0,11.0,Visual,,,,,,77,0.39,0.06,13,5,0.83,5,142,0.34,0.86,0.66,0.1
80.0,90.0,55.0,19.0,4.0,1.0,2.0,13.0,Visual,,,,,,60,0.31,0.06,12,1,0.62,23,21,0.72,0.68,0.9,0.18
10.0,10.0,15.0,19.0,4.0,1.0,0.0,0.0,Visual,,,,,,47,0.43,0.08,5,6,0.52,12,178,0.79,0.36,0.08,0.47
70.0,75.0,55.0,11.0,4.0,2.0,0.0,11.0,Visual,,,,,,26,0.43,0.08,13,6,0.22,23,46,0.4,0.62,0.12,0.3
100.0,75.0,50.0,70.0,3.0,2.0,0.0,0.0,Visual,,,,,,28,0.44,0.07,6,6,0.8,21,77,0.74,0.1,0.35,0.42
10.0,79.0,30.0,30.0,3.0,2.0,2.0,11.0,Visual,,,,,,27,0.29,0.02,15,1,0.98,23,115,0.69,0.53,0.1,0.94
60.0,55.0,30.0,40.0,3.0,1.0,0.0,0.0,Visual,,,,,,31,0.23,0.07,23,6,0.7,20,102,0.55,0.78,0.89,0.34
100.0,75.0,50.0,70.0,5.0,1.0,0.0,10.0,Visual,,,,,,53,0.42,0.03,22,9,0.89,8,50,0.4,0.25,0.88,0.85
80.0,80.0,51.0,59.0,3.0,1.0,0.0,0.0,Visual,,,,,,52,0.28,0.02,21,7,0.61,12,65,0.87,0.5,0.95,0.07
23.0,63.0,71.0,89.0,4.0,1.0,6.0,14.0,Visual,,,,,,67,0.17,0.14,22,7,0.39,8,78,0.58,0.07,0.2,0.81
100.0,91.0,98.0,40.0,2.0,3.0,8.0,10.0,Visual,,,,,,74,0.44,0.09,11,1,0.21,17,20,0.41,0.84,0.05,0.9
10.0,51.0,40.0,40.0,5.0,1.0,0.0,0.0,Visual,,,,,,42,0.45,0.1,4,4,0.72,11,146,0.73,0.35,0.44,0.28
70.0,50.0,33.0,41.0,2.0,1.0,0.0,12.0,Visual,,,,,,43,0.29,0.06,1,5,0.59,5,122,0.66,0.58,0.88,0.55
70.0,58.0,73.0,91.0,4.0,2.0,2.0,8.0,Visual,,,,,,56,0.13,0.14,15,8,0.83,13,37,0.79,0.38,0.64,0.19
70.0,50.0,30.0,49.0,2.0,1.0,8.0,13.0,Visual,,,,,,54,0.26,0.1,12,5,0.76,8,31,0.9,0.6,1.0,0.09
70.0,50.0,33.0,40.0,2.0,1.0,6.0,10.0,Visual,,,,,,63,0.42,0.12,9,9,0.99,18,94,0.33,0.74,0.91,0.77
22.0,51.0,48.0,10.0,2.0,1.0,2.0,15.0,Visual,,,,,,59,0.46,0.06,11,5,0.61,13,15,0.74,0.33,0.39,0.63
62.0,68.0,48.0,80.0,5.0,2.0,4.0,12.0,Visual,,,,,,41,0.18,0.14,5,9,0.54,7,35,0.89,0.52,0.04,0.75
82.0,89.0,58.0,50.0,3.0,1.0,0.0,0.0,Visual,,,,,,46,0.13,0.12,24,9,0.43,19,153,0.62,0.79,0.01,0.44
72.0,80.0,58.0,66.0,4.0,2.0,6.0,7.0,Visual,,,,,,54,0.45,0.13,7,5,0.58,9,23,0.73,0.69,0.64,0.25
70.0,82.0,3.0,73.0,4.0,1.0,0.0,0.0,Visual,,,,,,20,0.26,0.03,8,8,0.9,5,44,0.56,0.06,0.92,0.43
60.0,82.0,93.0,43.0,3.0,1.0,2.0,10.0,Visual,,,,,,54,0.32,0.04,1,9,0.23,15,51,0.51,0.57,0.44,0.06
55.0,72.0,83.0,14.0,3.0,2.0,0.0,7.0,Visual,,,,,,56,0.49,0.04,1,6,0.98,23,62,0.72,0.38,0.87,0.28
72.0,65.0,73.0,66.0,5.0,1.0,16.0,12.0,Visual,,,,,,66,0.13,0.04,3,0,0.99,9,109,0.89,0.71,0.57,0.3
51.0,82.0,53.0,43.0,3.0,2.0,4.0,10.0,Visual,,,,,,33,0.36,0.13,8,0,0.68,21,159,0.35,0.02,0.1,0.71
80.0,92.0,83.0,43.0,2.0,2.0,0.0,16.0,Visual,,,,,,22,0.13,0.0,11,3,0.47,23,22,0.55,0.33,0.8,0.05
60.0,52.0,23.0,33.0,1.0,2.0,0.0,0.0,Visual,,,,,,20,0.25,0.01,1,1,0.38,21,20,0.86,0.09,0.49,0.25
30.0,12.0,29.0,23.0,4.0,2.0,0.0,14.0,Visual,,,,,,24,0.42,0.04,14,2,0.42,9,149,0.37,0.92,0.05,0.28
40.0,62.0,83.0,33.0,4.0,1.0,0.0,0.0,Visual,,,,,,45,0.27,0.03,1,6,0.24,24,106,0.69,0.88,0.81,0.55
60.0,52.0,23.0,33.0,3.0,2.0,2.0,16.0,Visual,,,,,,74,0.5,0.03,6,6,0.58,13,95,0.56,0.97,0.76,0.24
